,name,date_post,tracks,likes,reposts,user,link
206,tune,26 April 2021,15,None,None,relaxing,https://soundcloud.com/kh-i-nguy-n-379201358/sets/tune
207,Love,2 October 2021,12,None,None,Nguyễn Tân Dũng,https://soundcloud.com/nguy-n-t-n-d-ng-692512497/sets/love
208,New private playlist,29 June 2021,15,1,None,Tra Myy,https://soundcloud.com/tra-myy-843853484/sets/new-private-playlist
209,f,29 June 2021,7,None,None,Trần Hải Phúc,https://soundcloud.com/tr-n-h-i-ph-c-702183690/sets/f
210,love,16 March 2020,15,None,None,Tai Thanh Nguyen,https://soundcloud.com/t-i-th-nh-nguy-n-687740962/sets/love
211,ey,3 April 2020,15,1,None,liuuuuuuuu,https://soundcloud.com/c-m-511793188/sets/ey
212,autotune hơi lú,2 March 2021,15,None,None,vux,https://soundcloud.com/ph-m-quang-v-n-v/sets/autotune-h-i-l
213,Song for love,4 June 2021,15,1,None,Nguyễn Lê Huy,https://soundcloud.com/nguy-n-l-huy-619606392/sets/song-for-love
214,met,22 July 2019,15,None,None,Gia Hòa,https://soundcloud.com/gia-hoa-17463153/sets/met
215,New Wave,1 April 2021,15,2,None,BigD,https://soundcloud.com/mc-minh-c-official/sets/new-wave
216,N,20 October 2021,15,None,None,Tan Nam Nguyen,https://soundcloud.com/tan-nam-nguyen-941407787/sets/n
217,...,21 May 2021,14,None,None,thanhnhann,https://soundcloud.com/thanh-nhan-995452158/sets/wpnkork4ywav
218,.,16 June 2020,8,None,None,Nguyễn Thành Đạt,https://soundcloud.com/nguy-n-th-nh-t-448016953/sets/ebetpwmbcswg
219,My List,20 June 2020,15,1,None,_qqquoccuonggg_,https://soundcloud.com/user-994355017/sets/my-list
220,....,6 June 2021,15,None,None,_qqquoccuonggg_,https://soundcloud.com/user-994355017/sets/wxb2t24vznoq
221,d,6 May 2021,15,None,None,Nguyễn Thành Đạt,https://soundcloud.com/nguy-n-th-nh-t-448016953/sets/d
222,Music =),18 March 2021,15,None,None,🐬🌊💖✨,https://soundcloud.com/tr-n-th-648409814/sets/music
223,Chill vãi lồn luôn,21 August 2020,15,None,None,Trịnh Phúc,https://soundcloud.com/tr-nh-ph-c-331603420/sets/chill-v-i-l-n-lu-n
224,5,25 June 2021,13,None,None,Nguyễn Thế Lộc,https://soundcloud.com/nguy-n-l-c-682992635/sets/5-1
225,gangz,15 May 2021,15,None,None,qhhihihoho,https://soundcloud.com/qu-huy-616529732/sets/gangz
226,New private playlist,7 April 2020,15,None,None,Nguyễn Đạt,https://soundcloud.com/nguy-n-t-325009545/sets/new-private-playlist
227,hay ba chay,13 April 2021,15,1,None,Tuong Vy,https://soundcloud.com/user-184819290/sets/nhe-nhang-thui
228,🙋🙌,1 June 2021,14,1,None,goelf demmor,https://soundcloud.com/qu-nh-nhi-tr-n-189752196/sets/lipjvasday1s
229,feeling,20 April 2020,15,None,1,vi,https://soundcloud.com/vy-ciu-416203105/sets/feeling
230,New private playlist,1 August 2020,29,None,None,nc.yummyyy,https://soundcloud.com/ph-m-ng-c-chi-n-631864891/sets/new-private-playlist
231,Nhạc hay nghe,25 December 2020,178,1,None,Huỳnh Đăng Quang,https://soundcloud.com/hu-nh-ng-quang-808067759/sets/nh-c-hay-nghe
232,come on:)),6 September 2021,13,None,None,lonque,https://soundcloud.com/m-ng-c-tr-n-th-144174888/sets/come-on
233,việt phiêu,26 June 2019,59,1,None,tom nguyễn,https://soundcloud.com/user-955762385/sets/vi-t-phi-u
234,Huy Hoàng,13 June 2021,42,None,None,Huy Hoàng,https://soundcloud.com/huy-hoang-10465654/sets/huy-hoang
235,liên quân 🔥🔥🔥🔥,11 September 2021,24,None,None,Nguyễn Hồng Vũ,https://soundcloud.com/nguy-n-v-n-47777070/sets/li-n-qu-n
236,chill,22 October 2021,35,None,None,Quang Phan,https://soundcloud.com/quang-phan-123794677/sets/chill
237,:)),19 March 2021,31,None,None,Lê Trường Giang,https://soundcloud.com/l-tr-ng-giang-58698650/sets/jarcplgo2vwp
238,Rap version :),22 October 2021,7,None,None,Anh Duy Nguyễn,https://soundcloud.com/anh-duy-nguy-n-901520520/sets/rap-version
239,mineeee,8 July 2018,52,None,None,Vũ Linh Chi,https://soundcloud.com/v-linh-chi-44241976/sets/mineeee
240,New private playlist,28 January 2021,24,None,None,hung luu,https://soundcloud.com/hungluu/sets/new-private-playlist-4
241,Lil,23 August 2021,14,None,None,tongteo,https://soundcloud.com/tong-teo-234416477/sets/lil
242,lạ lùng,17 May 2020,37,None,None,phidz,https://soundcloud.com/hoang-phi-819587334/sets/l-l-ng
243,RAP,3 October 2021,31,None,None,Dr.Chin,https://soundcloud.com/user-370442039/sets/rap
244,thanhlai,28 March 2017,34,None,None,Thanh Lài,https://soundcloud.com/thanh-lai-5106890/sets/thanhlai
245,New private playlist,30 June 2021,43,None,None,Quang Anh Đặng,https://soundcloud.com/quang-anh-ng-155701923/sets/new-private-playlist
246,hay,24 March 2021,43,None,None,Phượng Nguyễn Văn,https://soundcloud.com/ph-ng-nguy-n-v-n-881883684/sets/hay
247,Vui,20 June 2021,61,None,None,Phát Phan,https://soundcloud.com/phat-phan-492545171/sets/vui
248,🎶,7 March 2021,15,None,None,Tu My Pham,https://soundcloud.com/tu-my-pham/sets/qfrfj1tfvnnl
249,Inside,30 September 2021,15,None,None,Phat Pham Huu,https://soundcloud.com/phat-pham-huu/sets/inside
250,Rap viet,18 October 2021,15,None,None,Phat Pham Huu,https://soundcloud.com/phat-pham-huu/sets/rap-viet
251,chu,24 June 2017,15,None,None,Dũng Chu,https://soundcloud.com/d-ng-chu-998498162/sets/chu
252,181101,17 March 2019,7,None,None,Tibber,https://soundcloud.com/user-215187577/sets/181101-1
253,Anh iu,26 August 2020,15,None,None,dgkieuanh,https://soundcloud.com/duong-kieu-anh/sets/anh-iu
254,New private playlist,27 April 2021,15,1,None,pied piper,https://soundcloud.com/user-503402287/sets/new-private-playlist
255,đen,7 August 2016,15,None,None,Luong Pham,https://soundcloud.com/luong-pham-884960347/sets/en
256,nsnshdn,19 July 2021,15,None,None,Nguyễn Đức Tiệp,https://soundcloud.com/nguy-n-c-ti-p-283753221/sets/nsnshdn
257,1,2 July 2021,15,None,None,Lê Đình Gia Vinh,https://soundcloud.com/l-nh-gia-vinh/sets/1-1
258,lo-fi,14 September 2020,15,None,None,tphung,https://soundcloud.com/phu-hung-688592727/sets/lo-fi
259,Trend,31 October 2020,13,None,None,Lam Joseph,https://soundcloud.com/lam-joseph-720720818/sets/trend
260,hieuthuhai,11 October 2021,15,None,None,Nhật,https://soundcloud.com/l-quang-minh-nh-t-496878541/sets/hieuthuhai
261,Rap x lời,3 December 2020,15,None,None,Nguyễn Toàn,https://soundcloud.com/nguy-n-to-n-723413931/sets/rap-x-l-i
262,tune,6 October 2021,15,None,None,Chang,https://soundcloud.com/nmeowt/sets/tune
263,Rappp,25 April 2020,15,1,None,Hien Nguyen,https://soundcloud.com/hien-nguyen-990874807/sets/rappp
264,pang!,21 September 2021,15,None,None,Komorevy,https://soundcloud.com/nguynvy/sets/pang
265,2k2l,2 October 2021,15,None,None,MrHG,https://soundcloud.com/utffyypxyixg/sets/2k2l
266,yêu em dại khờ,6 September 2020,15,1,None,gfkjd,https://soundcloud.com/tran-minh-duc-670856517/sets/y-u-em-d-i-kh
267,1,19 April 2021,15,None,None,Vũ Hồng Quang,https://soundcloud.com/quang-v-611560886/sets/1-1
268,Ghệ đẹp,9 May 2021,10,None,None,Duc Trung,https://soundcloud.com/duc-trung-379796787/sets/gh-p
269,VN,21 April 2021,15,None,None,Linh Htd,https://soundcloud.com/linh-htd/sets/vn
270,chill.,18 June 2021,9,None,None,Diễm Quỳnh,https://soundcloud.com/di-m-qu-nh-95801750/sets/chill-1
271,hahaha,7 August 2021,15,None,None,Lil K,https://soundcloud.com/kha-tran-469666461/sets/hahaha-1
272,rap 🎧,21 October 2020,15,None,None,Phganhhh,https://soundcloud.com/anh-phuong-le-37517695/sets/rap
273,.,30 April 2021,15,None,None,Thanh Van,https://soundcloud.com/thanh-van-470529830/sets/zizyggfvuuj7
274,việt nam,19 October 2021,3,None,None,Hau Le,https://soundcloud.com/hau-le-25221626/sets/vi-t-nam
275,Kpop,19 October 2021,15,None,None,amoy,https://soundcloud.com/ezza-octa/sets/kpop
276,1,13 September 2020,15,None,None,2312,https://soundcloud.com/luong-trung-136213944/sets/1-1
277,pop,19 May 2021,16,None,None,tu nguyen,https://soundcloud.com/tu-nguyen-400885993/sets/pop
278,🥺,20 July 2021,30,None,None,Quốc Bình,https://soundcloud.com/qu-c-b-nh-29481218/sets/mmddgzlneq8y
279,nhạc của tui,4 February 2017,15,None,None,Thanh Liêm,https://soundcloud.com/thanh-li-m-296209731/sets/nh-c-c-a-tui
280,haha,29 April 2018,15,None,None,datttt___,https://soundcloud.com/th-nh-t-833341991/sets/haha
281,:)))),2 February 2021,15,None,None,dondon.1012,https://soundcloud.com/tr-n-oan-438126127/sets/cioevfnybfz7
282,hiệp,7 May 2021,17,None,None,Giahiep Nguyen,https://soundcloud.com/giahiep-nguyen-752688919/sets/hi-p
283,chill,4 May 2021,5,None,None,To2,https://soundcloud.com/hoang-nam-vu-255236175/sets/chill-1
284,rap Việt,19 October 2021,15,None,None,To2,https://soundcloud.com/hoang-nam-vu-255236175/sets/rap-vi-t
285,bhm,10 August 2019,15,1,None,Trang Huyền,https://soundcloud.com/trang-huy-n-171267358/sets/bhm
286,🔥,19 September 2021,15,None,None,Huyềnn Cơ,https://soundcloud.com/huy-nn-c/sets/qhna3g63erxc
287,Iiiii,8 July 2021,15,None,None,Tuấn Đặng,https://soundcloud.com/ng-anh-tu-n-6/sets/iiiii
288,V,13 July 2021,37,None,None,Kiều Thuý Vy,https://soundcloud.com/ki-u-thu-vy/sets/v
